date,company_name,sector,stock_price,volume,MA7,MA30,daily_return,volume_MA7,price_volatility,company_encoded,sector_encoded
2025-01-01,AlphaTech,Technology,-1.1825711061511754,-1.1241528994724312,-1.408567490896612,-1.6178238614246594,,-1.1154902629567496,,0,1
2025-01-02,AlphaTech,Technology,-0.4869410437093119,-0.3016019974194335,-0.6110966618974902,-0.5997284916793585,0.74484106227919,-0.29670073300445926,-0.5973197093295456,0,1
2025-01-03,AlphaTech,Technology,-0.4869410437093119,-1.946703801525429,-0.3452730522311408,-0.2603633684309561,-0.5618396076467179,-1.1154902629567496,-0.950890558793091,0,1
2025-01-04,AlphaTech,Technology,-1.3517784186370303,-0.7128774484459324,-0.708086357316311,-0.7235509015132574,-2.1666023793283724,-0.910792880468677,-0.738927468786543,0,1
2025-01-05,AlphaTech,Technology,-0.8253556686810325,0.0,-0.6843777651028209,-0.693283201331637,0.4299702971593686,-0.5041274139257022,-0.9754445165975293,0,1
2025-01-06,AlphaTech,Technology,0.039481706246696634,0.10967345360706537,-0.33808863034824793,-0.2511913380728675,1.052475323390194,-0.19662645712139828,-0.5194211508695243,0,1
2025-01-07,AlphaTech,Technology,0.22748983123098465,0.5209489046335642,-0.02915848938463943,0.14320596732394134,-0.2161599339846575,0.13998701630342486,-0.22216653573889175,0,1
2025-01-08,AlphaTech,Technology,1.2615345186445688,0.9322243556600631,0.7713913775642901,0.8173501986417799,1.333225746179213,0.7248366805550633,0.7732225696871731,0,1
2025-01-09,AlphaTech,Technology,1.2615345186445688,1.343499806686562,1.3440924362277178,1.3416846007778698,-0.5618396076467179,1.192716411956373,1.386376978697896,0,1
2025-01-10,AlphaTech,Technology,1.5435467061210006,1.1789896262759625,2.0091646333853035,1.8437003957093325,-0.05407090040149976,2.081687901618857,1.8445703917300564,0,1
2025-01-01,BetaBank,Finance,-1.0283925753322511,-0.8257228238447705,-1.045873532626531,-1.1917424211192225,,-0.529012272301428,,1,0
2025-01-02,BetaBank,Finance,-0.3827649495631242,-1.7431926281167376,-0.33814499304450796,-0.250568802008507,0.6157125283449537,-1.4547066076343036,-0.8642624219612197,1,0
2025-01-03,BetaBank,Finance,-1.4895551651673493,0.0,-0.9110680965157035,-1.0124712555743698,-2.067823101609306,-0.5907252279902908,-0.4685918428017496,1,0
2025-01-04,BetaBank,Finance,-0.7055787624476877,-1.1927107455535573,-0.7678373206478974,-0.8219956421828946,0.8357708108781953,-0.7604358561346469,-0.8012415122950756,1,0
2025-01-05,BetaBank,Finance,-0.7055787624476877,-0.45873490213598356,-0.6818988551272138,-0.7077102741480094,-0.37806131139294374,-0.566040045714743,-1.0161415758628953,1,0
2025-01-06,BetaBank,Finance,-0.10606739566205475,0.09174698042719671,-0.4055477110999647,-0.3402043847809907,0.5409621928778146,-0.2513039717015653,-0.7504159184312702,1,0
2025-01-07,BetaBank,Finance,0.44732771214005784,0.5504818825631803,-0.034832761795081865,0.1527913204674975,0.4638859694961158,0.10574955764111911,-0.1758728528761338,1,0
2025-01-08,BetaBank,Finance,1.6002341867278034,1.0092167846991638,0.7884432944534383,0.9427048936497255,1.3638985801016696,0.6347177492598994,1.2571586689234049,1,0
2025-01-09,BetaBank,Finance,1.1851878558762123,1.3762047064079508,1.2795202402858505,1.4226287430772304,-0.9962843573035556,1.5339636750118433,1.7337368357566305,1,0
2025-01-10,BetaBank,Finance,1.1851878558762123,1.1927107455535573,2.11723973611764,1.8065678226192345,-0.37806131139294374,1.8777929995640485,1.0856306195483068,1,0
